AssetID;Action_Actual;Action_From;Action_To;Trigger_Date;Trigger_MSGNo;Trigger_Text;Trigger_Count;AWS;BWS;AVSS;CalcDate
65316;34;13.03.2015 01:22;13.03.2015 01:22;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 01:22;13.03.2015 01:23;12.03.2015 05:03;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;13.03.2015 01:23;13.03.2015 01:24;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 01:24;2015-03-13 01:38:29.053;12.03.2015 05:03;3375;Air starter engagement fault;0;0;2;0;29.10.2018 12:25
65316;34;2015-03-13 01:38:29.053;13.03.2015 02:05;12.03.2015 05:03;3375;Air starter engagement fault;0;0;4;0;29.10.2018 12:25
65316;4;13.03.2015 02:05;13.03.2015 02:06;13.03.2015 02:05;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;13.03.2015 02:06;13.03.2015 02:07;13.03.2015 02:06;1092;Scavenging flap failure;1;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 02:07;13.03.2015 02:07;13.03.2015 02:06;1092;Scavenging flap failure;0;0;4;0;29.10.2018 12:25
65316;34;13.03.2015 02:07;13.03.2015 02:12;13.03.2015 02:06;1092;Scavenging flap failure;0;0;2;0;29.10.2018 12:25
65316;34;13.03.2015 02:12;13.03.2015 02:12;13.03.2015 02:06;1092;Scavenging flap failure;0;0;4;0;29.10.2018 12:25
